signal with carrier,baseband signal,x
0.0610137,-0.0862864,789
0.0392295,-0.0784591,790
0.0182796,-0.070627,791
3.72119e-10,-0.0627905,792
-0.0142222,-0.0549502,793
-0.0235532,-0.0471065,794
-0.0277609,-0.0392598,795
-0.0272025,-0.0314108,796
-0.022757,-0.0235598,797
-0.0157073,-0.0157073,798
-0.00758629,-0.0078539,799
